profile_para,text_note,mle_transformed,CI_low_transformed,CI_high_transformed,delta,se_stat,se_mc,se,mle,CI_low,CI_high
beta_naught1,"218.97 (154.85, 266)",218.97387637637635,154.8456781781782,266.0012217217217,5060.169729210752,6.844020723979142e-4,0.03512192611149983,0.03512859376602423,0.2964464464464464,0.20815815815815816,0.3611911911911912
beta_naught2,"293.08 (268.14, 327.28)",293.07757207207203,268.13882832832826,327.27927777777774,3897.065536458619,5.520101503417719e-4,0.02485854894996963,0.0248646771767525,0.3984684684684685,0.3641341341341341,0.44555555555555554
beta_naught3,"238.92 (196.89, 277.4)",238.92487137137135,196.8852747747748,277.40179029029025,4117.174835276159,6.322696209223766e-4,0.02926628184779666,0.02927311083687919,0.3239139139139139,0.26603603603603604,0.3768868868868869
beta_naught4,"226.1 (201.87, 253.89)",226.09923173173175,201.8730235235235,253.8881176176176,3151.37305914002,4.195860609117078e-4,0.01699047335419178,0.01699565348146438,0.30625625625625624,0.27290290290290287,0.3445145145145145
beta_naught5,"180.5 (144.87, 209.71)",180.49695745745748,144.8701806806807,209.7109144144144,7577.446264647956,6.120464394557053e-4,0.0384377241592861,0.03844259667854679,0.24347347347347348,0.1944244244244244,0.2836936936936937
beta_naught6,"372.88 (348.66, 402.1)",372.881552052052,348.6553438438438,402.09550900900894,4396.844941836389,6.101739624672284e-4,0.02918745802477275,0.02919383527754351,0.5083383383383383,0.474984984984985,0.5485585585585585
beta_naught7,"338.68 (308.04, 365.04)",338.6798463463463,308.0408183183183,365.04366116116114,1969.0087463175,7.979560615866111e-4,0.02553628880201266,0.0255487529961057,0.4612512512512512,0.41906906906906904,0.49754754754754754
beta_naught8,"452.69 (427.03, 475.49)",452.685532032032,427.0342527527527,475.48666916916915,3145.2045169150256,5.887528309914862e-4,0.02381725527592193,0.0238245310294753,0.6182082082082082,0.5828928928928928,0.6495995995995996
beta_naught9,"10.91 (10.91, 722.74)",10.9135,10.9135,722.7365,276182.5070036145,0.00116640293830697,0.4422950566076065,0.4422965946006598,0.01,0.01,0.99
beta_naught10,"365.04 (335.12, 407.08)",365.04366116116114,335.1171686686686,407.08325775775774,3087.6483258061935,8.15436670897623e-4,0.032684055344889953,0.03269422595431912,0.49754754754754754,0.4563463463463463,0.5554254254254254
beta_naught11,"556 (531.78, 580.23)",556.0031846846847,531.7769764764764,580.2293928928929,1513.9208681328832,6.134492352013363e-4,0.01721160821192624,0.01722253689805936,0.7604504504504505,0.727097097097097,0.7938038038038038
beta_naught12,"206.86 (179.07, 238.92)",206.86077227227227,179.0718863863864,238.92487137137135,2804.648970107105,6.215062647798523e-4,0.02374121342984325,0.02374934704699331,0.27976976976976975,0.2415115115115115,0.3239139139139139
beta_naught13,"200.45 (170.52, 242.49)",200.44795245245248,170.52145995995997,242.48754904904905,4903.11263272333,6.442336961033177e-4,0.03254327056910688,0.0325496466400066,0.27094094094094096,0.22973973973973977,0.3288188188188188
beta_naught14,"20.89 (10.91, 722.74)",20.888997497497495,10.9135,722.7365,78016.11117647566,0.00110907130056712,0.22351834704598944,0.2235210985686164,0.02373373373373373,0.01,0.99
beta_naught15,"267.43 (251.04, 280.25)",267.42629279279276,251.0379754754755,280.2519324324324,1727.3266159395755,4.74849695631959e-4,0.01423209088541545,0.01424001029508642,0.3631531531531531,0.3405905905905906,0.3808108108108108
beta_naught16,"77.18 (10.91, 206.15)",77.1793048048048,10.9135,206.14823673673672,22936.856009847088,8.658769439360486e-4,0.09461758128154614,0.09462154316249566,0.10123123123123122,0.01,0.27878878878878877
beta_naught17,"181.92 (152.71, 210.42)",181.92202852852853,152.7080715715716,210.42344994994997,3785.486348718592,5.812722319646552e-4,0.02579865820290282,0.0258052057243855,0.24543543543543545,0.2052152152152152,0.28467467467467467
beta_naught18,"402.1 (-Inf, Inf)",402.09550900900894,-Inf,Inf,-755021.4576838926,NA,1.519289760006699,1.519287827519266,0.5485585585585585,-Inf,Inf
beta_naught19,"434.16 (382.14, 484.04)",434.1596081081081,382.144514014014,484.0370955955956,4703.986850620958,7.705616568812254e-4,0.03812577385687622,0.03813355998923681,0.5927027027027026,0.5210910910910911,0.6613713713713714
beta_naught20,"267.43 (245.34, 285.24)",267.42629279279276,245.3376911911912,285.23968118118114,2617.2965974544727,5.562695805591247e-4,0.02052670657622391,0.02053424258921301,0.3631531531531531,0.33274274274274274,0.3876776776776776
beta_naught21,"226.81 (196.89, 265.29)",226.81176726726727,196.8852747747748,265.28868618618617,2416.2726145027,6.237529964873012e-4,0.02211463804529301,0.02212343290890787,0.3072372372372372,0.26603603603603604,0.3602102102102102
beta_naught22,"126.34 (48.68, 206.15)",126.34425675675676,48.67788338338338,206.14823673673672,9891.864163687493,8.547771120631485e-4,0.06133617585458653,0.06134213162562963,0.16891891891891891,0.06199199199199199,0.27878878878878877
beta_naught23,"595.91 (505.41, 679.27)",595.9051746746746,505.4131616616616,679.2718323323323,6951.926312512483,0.00112192925064282,0.0674877508165593,0.06749707575533513,0.8153853853853853,0.6908008008008008,0.93016016016016
beta_naught24,"210.42 (186.91, 240.35)",210.42344994994997,186.90977727727727,240.34994244244243,3053.6936233744336,5.207523822951966e-4,0.02075746325701094,0.02076399441123565,0.28467467467467467,0.2523023023023023,0.32587587587587585
beta_naught25,"407.08 (391.41, 424.18)",407.08325775775774,391.407475975976,424.1841106106106,813.050856618568,5.103954088260995e-4,0.01048863402668532,0.01050104505366451,0.5554254254254254,0.5338438438438439,0.578968968968969
beta_naught26,"442.71 (399.96, 478.34)",442.7100345345345,399.95790240240234,478.3368113113113,4792.786908071233,6.924133286979466e-4,0.03458114318719198,0.03458807453951192,0.6044744744744744,0.5456156156156156,0.6535235235235235
beta_naught27,"455.54 (383.57, 532.49)",455.5356741741742,383.56958508508507,532.4895120120119,5980.375385299791,0.00105170391448147,0.05867523896574211,0.05868466365934696,0.6221321321321321,0.523053053053053,0.728078078078078
beta_naught28,"318.73 (284.53, 364.33)",318.7288513513513,284.52714564564565,364.3311256256256,2919.329448894237,5.968468714108664e-4,0.02326100458102975,0.02326866047512405,0.43378378378378374,0.3866966966966967,0.49656656656656656
eta_two,"2.93 (2.91, 2.95)",2.928973973973974,2.908373373373373,2.9495745745745747,1017.2966841379832,1.3793457435090298e-4,0.00317141797344247,0.00317441615247203,0.4082782782782783,0.4023923923923924,0.4141641641641642
eta_three,"4.85 (4.79, 4.92)",4.853628628628629,4.7869219219219215,4.920335335335335,971.5590626173506,1.7181066899115454e-4,0.00386030770690126,0.00386412920305992,0.3945445445445445,0.3866966966966967,0.4023923923923924
eta_four,"1.35 (1.12, 1.41)",1.3463813813813814,1.1168318318318318,1.4052402402402402,3585.765308167753,6.91402760959895e-4,0.02986569323350697,0.02987369528692101,0.5642542542542542,0.4112212212212212,0.6034934934934935
epsilon_four,"83.14 (-Inf, Inf)",83.13888888888889,-Inf,Inf,-10605.493493492397,NA,0.07405301754899822,0.07404631269873334,0.01,-Inf,Inf
lambda_one,"0.22 (0.21, 0.22)",0.2157845845845846,0.21413653653653655,0.217981981981982,545.0617116761148,2.4776825834569986e-4,0.00416647577940407,0.00417383630850617,0.7349449449449449,0.729059059059059,0.7427927927927928
lambda_two,"0.39 (0.37, 0.41)",0.3913238238238238,0.3745980980980981,0.4085890890890891,17016.65714555275,1.821840990542764e-4,0.01714707268842517,0.01714804049528939,0.1296796796796797,0.09926926926926924,0.16107107107107108
lambda_three,"0.45 (0.44, 0.45)",0.4454027027027027,0.43682892892892894,0.4528483483483483,2066.1301640064808,5.963281760264955e-4,0.0195492056863452,0.01955829875680793,0.3278378378378378,0.29056056056056057,0.3602102102102102
lambda_four,"0.06 (0.01, 0.11)",0.06196676676676677,0.01334934934934935,0.10564004004004005,10226.1502692402,0.00110021207894375,0.08027098847337089,0.0802785279954154,0.1855955955955956,0.01196196196196196,0.34157157157157153
iota_one,"0.41 (-Inf, Inf)",0.405,-Inf,Inf,-19811.164523700572,NA,0.1141441792006272,0.1141386463572339,0.01,-Inf,Inf
iota_two,"0.31 (0.18, 0.46)",0.30567067067067066,0.17863363363363363,0.46017517517517514,17012.96888858407,0.00134910750202461,0.12696353363362078,0.12697070120223633,0.6113413413413413,0.35726726726726726,0.9203503503503504
iota_three,"0.22 (0.11, 0.39)",0.22098998998999,0.107,0.3892282282282282,19135.550327496934,0.00133099138444096,0.13284365995150765,0.13285032753959342,0.17284284284284285,0.01,0.41318318318318314
iota_four,"0.23 (0.02, 0.3)",0.22578078078078076,0.01594894894894894,0.297,36732.50288988658,0.00192229470860665,0.2658280363363557,0.265834986635299,0.7526026026026026,0.05316316316316316,0.99
gamma,"85.47 (84.39, 86.64)",85.47466966966968,84.38856022689356,86.64432599265933,766.040642798935,2.7378247361955555e-4,0.005460762753386,0.00546762166683368,0.5750450450450451,0.5622922922922923,0.5887787787787787
day_BA_one,"7.33 (6.1, 8.53)",7.334114114114114,6.098078078078078,8.528948948948948,4318.118625516356,3.3614443094984864e-4,0.01593468569705536,0.01593823080967267,0.1031931931931932,0.07376376376376376,0.13164164164164163
day_BA_two,"55.73 (55.22, 56.24)",55.73098098098098,55.22087087087087,56.24109109109109,606.5430917346036,2.0840006522225476e-4,0.00369748874120142,0.00370335706872777,0.7035535535535535,0.6957057057057057,0.7114014014014014
